,customer_id,join_date,subscription_plan,payment_method,region,age,gender,churned,date_of_last_login,days_since_last_login,tenure_days
0,1,2022-09-05,Free,Credit Card,West,39,Prefer not to answer,1,2023-11-20,41,441
1,2,2023-12-02,Premium,Credit Card,North,34,Prefer not to answer,0,2023-12-07,24,29
2,3,2021-02-03,Basic,Credit Card,East,67,Male,1,2022-06-18,561,500
3,4,2021-01-13,Free,Credit Card,South,18,Prefer not to answer,0,2023-12-01,30,1082
4,5,2021-12-18,Basic,Debit,South,29,Female,0,2023-12-13,18,743
5,6,2023-01-20,Premium,Debit,North,28,Male,1,2023-04-13,262,83
6,7,2023-08-06,Basic,Debit,South,33,Male,0,2023-12-26,5,147
7,8,2022-04-23,Basic,Credit Card,South,65,Prefer not to answer,1,2023-08-05,148,469
8,9,2020-03-10,Premium,Credit Card,West,22,Female,0,2023-12-25,6,1391
9,10,2020-12-24,Basic,PayPal,East,60,Male,0,2023-12-28,3,1102
10,11,2022-11-10,Basic,Debit,West,61,Female,0,2023-12-21,10,416
11,12,2020-03-12,Premium,PayPal,West,19,Prefer not to answer,0,2023-12-25,6,1389
12,13,2021-10-01,Free,Credit Card,North,57,Female,0,2023-12-26,5,821
13,14,2020-10-04,Basic,Debit,East,37,Male,0,2023-12-11,20,1183
14,15,2020-02-05,Basic,Debit,South,69,Prefer not to answer,0,2023-12-21,10,1425
15,16,2020-02-10,Premium,Debit,South,55,Male,0,2023-12-07,24,1420
16,17,2021-08-29,Basic,Credit Card,South,40,Prefer not to answer,0,2023-12-06,25,854
17,18,2021-07-03,Free,PayPal,South,38,Prefer not to answer,0,2023-12-31,0,911
18,19,2020-04-16,Basic,Debit,East,21,Prefer not to answer,1,2022-05-03,607,747
19,20,2020-12-15,Basic,Credit Card,West,58,Male,0,2023-12-25,6,1111
20,21,2023-05-28,Basic,PayPal,North,26,Male,1,2023-12-30,1,216
21,22,2020-05-17,Basic,Credit Card,West,43,Male,0,2023-12-11,20,1323
22,23,2020-10-01,Basic,Credit Card,West,27,Prefer not to answer,0,2023-12-17,14,1186
23,24,2023-08-30,Premium,Debit,North,64,Male,1,2023-11-13,48,75
24,25,2020-03-15,Premium,Credit Card,East,32,Prefer not to answer,0,2023-12-19,12,1386
25,26,2022-01-05,Basic,Debit,East,24,Male,0,2023-12-10,21,725
26,27,2020-03-15,Free,PayPal,South,28,Female,0,2023-12-22,9,1386
27,28,2023-08-03,Premium,Credit Card,East,29,Prefer not to answer,1,2023-09-24,98,52
28,29,2020-08-01,Free,Debit,North,44,Prefer not to answer,0,2023-12-07,24,1247
29,30,2022-06-09,Premium,PayPal,North,62,Female,0,2023-12-29,2,570
30,31,2021-04-23,Basic,Debit,West,20,Male,1,2022-11-04,422,560
31,32,2020-05-07,Basic,Credit Card,North,56,Prefer not to answer,1,2021-01-13,1082,251
32,33,2020-11-29,Free,PayPal,East,50,Female,0,2023-12-18,13,1127
33,34,2023-10-13,Free,PayPal,West,58,Prefer not to answer,0,2023-12-10,21,79
34,35,2020-09-04,Premium,PayPal,East,30,Male,0,2023-12-21,10,1213
35,36,2022-09-19,Basic,Credit Card,West,62,Prefer not to answer,0,2023-12-22,9,468
36,37,2023-12-30,Premium,Credit Card,West,49,Male,1,2024-01-09,-9,10
37,38,2023-02-16,Premium,PayPal,South,60,Prefer not to answer,0,2023-12-19,12,318
38,39,2022-02-25,Basic,PayPal,South,66,Female,0,2023-12-21,10,674
39,40,2022-06-14,Premium,Debit,North,49,Male,0,2023-12-14,17,565
40,41,2021-12-02,Basic,PayPal,West,58,Male,0,2023-12-17,14,759
41,42,2021-04-15,Basic,PayPal,East,20,Male,0,2023-12-21,10,990
42,43,2020-01-16,Basic,PayPal,North,44,Prefer not to answer,1,2021-06-01,943,502
43,44,2022-11-02,Premium,Debit,North,61,Female,0,2023-12-16,15,424
44,45,2020-11-15,Free,Debit,East,49,Female,0,2023-12-19,12,1141
45,46,2021-09-18,Basic,Debit,East,68,Female,0,2023-12-13,18,834
46,47,2020-06-04,Premium,Debit,North,30,Male,0,2023-12-04,27,1305
47,48,2023-10-05,Basic,PayPal,South,62,Male,0,2023-12-19,12,87
48,49,2020-08-09,Basic,Credit Card,West,18,Female,0,2023-12-11,20,1239
49,50,2020-12-30,Basic,PayPal,North,29,Male,0,2023-12-18,13,1096
50,51,2023-06-19,Basic,Debit,South,23,Male,0,2023-12-09,22,195
51,52,2022-10-17,Free,Credit Card,North,29,Male,1,2023-01-13,352,88
52,53,2021-12-11,Basic,PayPal,South,55,Male,0,2023-12-20,11,750
53,54,2021-04-14,Basic,Debit,East,24,Male,0,2023-12-03,28,991
54,55,2021-12-22,Premium,Credit Card,East,56,Female,0,2023-12-26,5,739
55,56,2021-09-15,Basic,PayPal,North,62,Prefer not to answer,0,2023-12-31,0,837
56,57,2020-04-14,Basic,PayPal,East,23,Male,0,2023-12-30,1,1356
57,58,2021-01-24,Basic,Debit,West,67,Female,0,2023-12-25,6,1071
58,59,2020-03-30,Basic,PayPal,South,58,Prefer not to answer,1,2022-07-07,542,829
59,60,2022-05-16,Basic,Credit Card,North,19,Prefer not to answer,0,2023-12-06,25,594
60,61,2020-05-26,Basic,Debit,North,52,Prefer not to answer,1,2020-06-11,1298,16
61,62,2023-04-04,Premium,PayPal,North,36,Prefer not to answer,0,2023-12-01,30,271
62,63,2021-04-06,Basic,PayPal,South,33,Prefer not to answer,0,2023-12-15,16,999
63,64,2023-03-30,Premium,PayPal,West,38,Female,0,2023-12-14,17,276
64,65,2021-10-24,Free,PayPal,East,18,Male,0,2023-12-30,1,798
65,66,2020-05-21,Premium,Credit Card,North,49,Male,1,2022-03-11,660,659
66,67,2022-03-23,Basic,Credit Card,North,56,Female,1,2023-08-15,138,510
67,68,2022-04-16,Basic,Credit Card,East,68,Male,0,2023-12-18,13,624
68,69,2020-05-13,Basic,Debit,South,57,Prefer not to answer,0,2023-12-28,3,1327
69,70,2023-12-02,Basic,PayPal,North,28,Female,0,2023-12-31,0,29
70,71,2020-07-04,Premium,Debit,East,65,Prefer not to answer,0,2023-12-15,16,1275
71,72,2023-04-22,Basic,Debit,East,28,Female,1,2023-09-12,110,143
72,73,2021-01-06,Premium,PayPal,South,52,Prefer not to answer,0,2023-12-29,2,1089
73,74,2022-02-27,Basic,PayPal,West,25,Female,0,2023-12-25,6,672
74,75,2022-01-31,Basic,PayPal,East,26,Prefer not to answer,1,2023-09-09,113,586
75,76,2023-01-14,Basic,Debit,North,45,Female,1,2023-03-05,301,50
76,77,2022-11-01,Premium,PayPal,West,38,Male,0,2023-12-25,6,425
77,78,2022-03-24,Basic,Debit,South,64,Male,0,2023-12-25,6,647
78,79,2020-10-13,Free,Credit Card,East,24,Female,0,2023-12-14,17,1174
79,80,2023-11-14,Basic,Credit Card,North,58,Male,0,2023-12-10,21,47
80,81,2021-05-09,Basic,Credit Card,South,20,Prefer not to answer,0,2023-12-30,1,966
